Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
431120 JULIO DE CASTILHOS;2;-;-;-;-;-;-;-;-;-;1;3
431123 LAGOA BONITA DO SUL;-;-;-;-;1;1;-;1;-;-;-;3
431127 LAGOA DOS TRES CANTOS;-;-;1;1;5;-;1;9;1;1;-;19
431130 LAGOA VERMELHA;-;-;3;-;1;2;3;6;-;2;-;17
431140 LAJEADO;434;28;219;191;630;451;374;1018;151;309;126;3931
431142 LAJEADO DO BUGRE;-;-;-;-;-;-;-;-;1;1;-;2
431160 LIBERATO SALZANO;7;-;-;1;3;2;3;8;-;3;4;31
431162 LINDOLFO COLLOR;105;-;1;-;-;-;-;-;-;-;2;108
431164 LINHA NOVA;-;-;-;-;-;1;-;4;-;-;-;5
431170 MACHADINHO;1;-;-;-;1;-;-;-;-;-;-;2
431177 MAQUINE;-;-;-;-;-;-;-;1;-;-;-;1
431180 MARAU;4;-;4;-;5;6;10;13;3;4;3;52
431190 MARCELINO RAMOS;14;1;3;1;6;4;2;8;1;3;-;43
431198 MARIANA PIMENTEL;1;-;-;-;-;-;-;-;-;-;-;1
431200 MARIANO MORO;-;-;2;2;-;1;-;2;-;-;1;8
431205 MARQUES DE SOUZA;11;-;-;2;1;6;5;8;1;3;-;37
431213 MATO CASTELHANO;-;-;-;-;-;1;-;-;-;1;-;2
431215 MATO LEITAO;-;-;4;4;6;5;1;4;1;1;4;30
431217 MATO QUEIMADO;-;-;-;-;-;-;-;2;-;-;-;2
431220 MAXIMILIANO DE ALMEIDA;1;-;1;4;4;1;4;2;1;7;3;28
431230 MIRAGUAI;-;-;-;-;1;3;5;1;-;-;-;10
431235 MONTAURI;-;-;-;-;-;-;-;-;-;1;-;1
431238 MONTE BELO DO SUL;1;-;-;-;-;-;-;-;-;-;-;1
431240 MONTENEGRO;176;-;4;7;9;8;11;29;5;11;27;287
431247 MORRO REUTER;12;-;1;2;11;3;11;15;3;6;4;68
431250 MOSTARDAS;1;-;-;-;-;-;-;-;-;-;-;1
431260 MUCUM;1;-;1;-;-;-;-;3;-;-;-;5
431265 NAO-ME-TOQUE;19;-;-;-;2;-;-;1;-;1;1;24
431270 NONOAI;42;-;4;4;14;6;9;18;3;2;3;105
431275 NOVA ALVORADA;-;-;-;-;1;-;-;1;1;-;-;3
431290 NOVA BASSANO;22;1;9;3;11;4;3;22;1;7;2;85
431295 NOVA BOA VISTA;3;-;8;1;4;5;3;4;1;7;2;38
431301 NOVA CANDELARIA;2;-;15;4;12;10;2;25;1;8;8;87
431303 NOVA ESPERANCA DO SUL;-;-;-;-;-;-;-;1;-;-;-;1
431306 NOVA HARTZ;1;-;5;2;19;10;13;21;6;5;3;85
431308 NOVA PADUA;1;-;-;-;-;-;-;-;-;-;-;1
431320 NOVA PETROPOLIS;10;-;-;-;-;-;-;6;2;-;-;18
431330 NOVA PRATA;3;-;-;-;-;-;1;-;-;-;-;4
431333 NOVA RAMADA;-;-;-;1;-;-;-;1;-;-;-;2
431337 NOVA SANTA RITA;10;-;-;-;1;-;2;2;-;1;-;16
431340 NOVO HAMBURGO;6355;4;39;34;104;84;95;171;18;50;355;7309
431342 NOVO MACHADO;44;-;33;58;58;11;12;26;-;9;5;256
431344 NOVO TIRADENTES;41;-;3;1;3;6;6;2;1;6;-;69
431346 NOVO XINGU;8;-;2;-;-;1;1;2;-;4;-;18
431349 NOVO BARREIRO;18;-;-;-;-;-;-;-;-;-;1;19
431350 OSORIO;8;-;-;-;-;1;-;-;-;-;-;9
431365 PALMARES DO SUL;-;-;2;-;-;2;-;1;-;-;1;6
431370 PALMEIRA DAS MISSOES;273;9;41;24;105;36;72;119;17;34;38;768
431380 PALMITINHO;68;1;7;4;9;12;16;43;8;18;10;196
431390 PANAMBI;39;-;1;2;2;1;1;3;1;-;4;54
431400 PARAI;3;-;-;-;-;-;-;2;-;-;-;5
431402 PARAISO DO SUL;1;-;-;-;-;-;-;-;-;-;-;1
431403 PARECI NOVO;-;-;-;-;1;-;-;5;-;-;2;8
431405 PAROBE;1012;29;100;94;221;107;162;332;32;37;108;2234
431407 PASSO DO SOBRADO;10;-;-;-;1;-;1;3;2;2;-;19
431410 PASSO FUNDO;6;-;3;1;8;8;-;13;5;21;4;69
431413 PAULO BENTO;2;1;21;47;57;42;14;35;6;18;6;249
431415 PAVERAMA;-;-;2;-;-;-;-;1;-;-;-;3
431440 PELOTAS;6;-;-;-;1;1;-;4;2;9;-;23
431442 PICADA CAFE;30;-;3;-;-;-;-;-;-;-;4;37
431445 PINHAL;308;-;1;2;6;3;5;4;-;4;15;348
431446 PINHAL DA SERRA;-;-;-;-;-;-;-;1;-;-;-;1
431449 PINHEIRINHO DO VALE;6;4;16;11;24;17;26;57;13;26;10;210
431460 PIRATINI;-;-;-;-;-;-;1;-;-;1;-;2
431470 PLANALTO;18;-;1;-;1;-;-;1;-;-;2;23
431475 POCO DAS ANTAS;-;-;-;-;1;-;1;1;-;1;-;4
431480 PORTAO;75;-;8;2;29;5;11;30;2;4;5;171
431490 PORTO ALEGRE;5328;-;22;10;52;36;34;120;25;58;247;5932
431500 PORTO LUCENA;4;-;-;-;1;1;1;1;-;2;1;11
431505 PORTO MAUA;5;-;1;4;3;3;-;3;1;-;-;20
431507 PORTO VERA CRUZ;-;-;-;-;1;-;-;-;-;1;-;2
431510 PORTO XAVIER;2;-;1;-;-;-;-;11;-;2;-;16
431513 POUSO NOVO;-;-;-;-;2;1;1;1;-;1;-;6
431514 PRESIDENTE LUCENA;4;-;3;3;9;6;3;22;1;1;1;53
431515 PROGRESSO;5;-;2;3;4;2;1;2;1;3;-;23
431520 PUTINGA;1;-;4;4;3;4;-;1;-;1;-;18
431531 QUATRO IRMAOS;-;-;-;1;-;-;-;1;-;-;-;2
431535 QUINZE DE NOVEMBRO;-;-;-;-;-;-;1;-;-;2;-;3
431540 REDENTORA;-;-;1;-;-;-;-;3;-;-;-;4
431555 RIO DOS INDIOS;9;-;-;-;-;1;-;2;-;1;1;14
431560 RIO GRANDE;2;-;-;2;-;-;-;1;-;2;-;7
431570 RIO PARDO;6;-;-;-;-;-;-;-;-;-;-;6
431580 ROCA SALES;10;-;3;-;12;2;5;15;1;-;6;54
431590 RODEIO BONITO;994;-;-;-;-;-;-;-;-;-;47;1041
431595 ROLADOR;-;-;-;-;-;1;-;-;-;-;-;1
431600 ROLANTE;15;-;2;-;3;-;4;5;2;2;2;35
431610 RONDA ALTA;1;-;2;-;1;-;1;4;2;2;-;13
431620 RONDINHA;235;-;4;1;10;6;12;36;5;25;14;348
431630 ROQUE GONZALES;-;-;-;-;1;-;1;-;-;-;-;2
431640 ROSARIO DO SUL;13;-;-;-;-;1;1;6;-;1;1;23
431642 SAGRADA FAMILIA;3;-;3;5;11;18;6;13;1;9;1;70
431643 SALDANHA MARINHO;5;-;-;-;1;-;-;-;-;-;-;6
431645 SALTO DO JACUI;1;-;-;-;-;-;-;1;-;-;-;2
431647 SALVADOR DAS MISSOES;-;-;-;-;-;-;-;1;-;-;-;1
431650 SALVADOR DO SUL;-;-;-;-;1;1;-;2;-;-;-;4
431660 SANANDUVA;2;-;2;-;17;8;6;7;2;8;1;53
431670 SANTA BARBARA DO SUL;7;-;-;-;2;2;-;3;-;-;-;14
431673 SANTA CECILIA DO SUL;-;-;-;-;-;-;-;-;-;-;1;1
431675 SANTA CLARA DO SUL;12;1;8;1;22;5;-;14;1;4;4;72
431680 SANTA CRUZ DO SUL;624;3;55;31;148;83;177;291;67;57;106;1642
431690 SANTA MARIA;106;-;2;-;6;4;7;26;10;17;5;183
431695 SANTA MARIA DO HERVAL;-;-;-;-;3;4;1;9;-;2;1;20
431710 SANT'ANA DO LIVRAMENTO;6;-;-;-;-;-;-;-;-;-;1;7
431720 SANTA ROSA;2254;1;2;3;40;21;17;63;9;15;101;2526
431730 SANTA VITORIA DO PALMAR;2;-;-;-;-;-;-;-;-;-;-;2
431740 SANTIAGO;3;-;-;-;-;-;-;-;-;1;-;4
431750 SANTO ANGELO;417;2;12;8;25;8;15;31;10;11;26;565
431760 SANTO ANTONIO DA PATRULHA;4;-;-;-;1;-;1;1;-;1;-;8
431775 SANTO ANTONIO DO PLANALTO;-;-;-;-;-;-;-;-;1;-;-;1
431780 SANTO AUGUSTO;5;-;-;1;1;1;-;5;1;-;-;14
431790 SANTO CRISTO;17;-;-;-;-;1;-;2;-;-;2;22
431800 SAO BORJA;1;-;-;-;-;-;1;3;1;-;-;6
431810 SAO FRANCISCO DE ASSIS;-;-;2;-;2;-;-;-;-;-;2;6
431820 SAO FRANCISCO DE PAULA;-;-;-;-;1;-;-;2;-;-;-;3
431830 SAO GABRIEL;1;-;-;1;2;-;1;3;-;2;-;10
431843 SAO JOAO DO POLESINE;-;-;-;1;-;-;-;-;-;-;1;2
431844 SAO JORGE;1;-;-;1;3;2;4;15;1;5;-;32
431848 SAO JOSE DO HORTENCIO;1;1;2;-;-;1;1;11;3;-;-;20
431849 SAO JOSE DO INHACORA;2;-;-;7;20;6;6;28;2;5;3;79
431850 SAO JOSE DO NORTE;1;-;-;-;-;-;-;-;-;-;-;1
431860 SAO JOSE DO OURO;-;-;-;-;-;-;-;1;-;-;-;1
431870 SAO LEOPOLDO;1021;9;61;31;275;146;171;450;102;99;82;2447
431890 SAO LUIZ GONZAGA;34;-;1;3;4;3;8;32;6;12;4;107
431900 SAO MARCOS;2;-;-;-;-;-;-;-;1;-;-;3
431910 SAO MARTINHO;10;-;3;4;4;1;3;9;1;3;1;39
431912 SAO MARTINHO DA SERRA;1;-;-;-;-;1;-;-;-;-;-;2
431915 SAO MIGUEL DAS MISSOES;30;-;-;-;-;-;-;2;-;-;2;34
431920 SAO NICOLAU;2;-;-;-;-;-;-;-;-;-;-;2
431930 SAO PAULO DAS MISSOES;16;-;-;-;2;-;-;2;-;1;1;22
431935 SAO PEDRO DA SERRA;1;-;-;-;-;-;-;-;-;-;-;1
431937 SAO PEDRO DO BUTIA;-;-;5;-;-;1;-;1;-;1;-;8
431940 SAO PEDRO DO SUL;2;-;-;-;-;-;-;-;-;-;-;2
431950 SAO SEBASTIAO DO CAI;55;-;-;-;-;-;-;1;-;-;4;60
431960 SAO SEPE;-;-;-;-;-;-;1;1;-;-;-;2
431970 SAO VALENTIM;-;-;-;-;-;1;-;1;-;1;-;3
431971 SAO VALENTIM DO SUL;-;-;-;-;-;-;-;1;-;-;-;1
431973 SAO VALERIO DO SUL;1;-;2;-;-;-;-;-;-;-;-;3
431990 SAPIRANGA;1608;3;14;22;38;15;39;62;3;7;57;1868
432000 SAPUCAIA DO SUL;503;2;7;5;39;151;223;144;11;6;55;1146
432010 SARANDI;223;-;3;2;7;3;5;19;2;8;29;301
432020 SEBERI;535;1;8;5;14;6;6;39;4;13;36;667
432023 SEDE NOVA;1;-;-;-;4;2;-;5;1;-;-;13
432030 SELBACH;1;-;-;-;-;-;-;-;-;-;-;1
432032 SENADOR SALGADO FILHO;1;-;1;-;-;-;-;2;-;-;-;4
432040 SERAFINA CORREA;8;-;-;-;3;-;-;8;1;4;1;25
432045 SERIO;1;-;-;-;-;-;-;3;-;3;-;7
432060 SEVERIANO DE ALMEIDA;-;-;1;-;-;-;-;1;-;1;-;3
432067 SINIMBU;-;-;5;-;1;1;-;1;-;1;-;9
432070 SOBRADINHO;1;-;-;-;1;-;-;-;-;-;-;2
432080 SOLEDADE;-;-;1;-;-;1;1;1;-;-;-;4
432085 TABAI;1;-;-;-;-;-;-;-;-;-;1;2
432090 TAPEJARA;-;-;-;-;-;1;-;2;-;-;-;3
432100 TAPERA;1;-;1;-;1;1;1;2;1;-;-;8
432120 TAQUARA;491;-;-;-;2;2;1;1;2;-;26;525
432130 TAQUARI;4;-;-;-;-;-;-;-;-;-;-;4
432132 TAQUARUCU DO SUL;-;-;2;-;8;3;1;5;-;2;-;21
432140 TENENTE PORTELA;5;1;1;2;4;-;5;5;-;4;2;29
432145 TEUTONIA;4;-;4;1;3;11;8;11;3;7;5;57
432146 TIO HUGO;4;-;-;-;-;-;-;-;-;-;-;4
432147 TIRADENTES DO SUL;2;-;-;-;-;-;-;1;1;1;-;5
432150 TORRES;4;-;-;1;1;-;4;6;1;4;2;23
432160 TRAMANDAI;15;-;-;-;1;-;-;5;-;3;1;25
432162 TRAVESSEIRO;2;-;3;-;6;4;-;8;1;1;1;26
432163 TRES ARROIOS;-;-;-;-;-;-;-;1;-;-;-;1
432166 TRES CACHOEIRAS;-;-;-;-;-;-;-;1;-;-;-;1
432170 TRES COROAS;643;-;14;16;58;25;26;52;17;22;23;896
432180 TRES DE MAIO;68;-;13;9;20;17;20;56;7;17;8;235
432183 TRES FORQUILHAS;1;-;-;-;-;1;-;-;-;-;-;2
432185 TRES PALMEIRAS;4;-;-;-;-;-;-;-;-;1;-;5
432190 TRES PASSOS;49;-;-;-;1;-;2;21;4;13;2;92
432195 TRINDADE DO SUL;3;-;-;1;-;-;-;-;-;-;-;4
432200 TRIUNFO;5;-;1;-;1;2;-;1;1;-;1;12
432210 TUCUNDUVA;206;-;5;4;12;2;8;18;2;15;10;282
432220 TUPANCIRETA;-;-;-;-;-;-;-;1;-;-;-;1
432225 TUPANDI;3;-;-;-;-;1;-;4;-;1;-;9
432230 TUPARENDI;76;-;-;-;-;-;-;-;-;-;1;77
432234 UBIRETAMA;-;-;1;-;1;-;-;-;-;-;-;2
432235 UNIAO DA SERRA;1;-;-;-;-;-;-;1;-;1;-;3
432240 URUGUAIANA;4;-;1;1;2;-;1;1;1;1;1;13
432250 VACARIA;2;-;-;-;-;-;-;1;-;-;-;3
432254 VALE REAL;-;1;-;-;-;-;-;-;-;1;-;2
432260 VENANCIO AIRES;254;1;19;23;50;24;23;81;13;27;16;531
432270 VERA CRUZ;1;-;-;1;-;1;-;-;-;1;-;4
432280 VERANOPOLIS;1;-;-;-;-;-;-;3;-;1;-;5
432290 VIADUTOS;3;-;1;-;-;-;1;-;-;-;-;5
432300 VIAMAO;353;-;2;6;17;7;11;60;6;7;28;497
432310 VICENTE DUTRA;46;-;-;-;1;-;2;-;-;1;-;50
432320 VICTOR GRAEFF;-;-;-;-;1;-;-;-;-;-;-;1
432330 VILA FLORES;-;-;-;-;1;-;-;-;-;-;-;1
432340 VILA MARIA;18;-;-;-;1;-;-;1;-;1;1;22
432350 VISTA ALEGRE;-;-;-;-;1;-;-;3;1;-;1;6
432360 VISTA ALEGRE DO PRATA;-;-;-;-;-;-;-;-;1;-;-;1
432375 VITORIA DAS MISSOES;-;-;-;-;-;1;-;1;-;-;-;2
432377 WESTFALIA;-;-;-;-;-;1;-;-;-;-;-;1
432380 XANGRI-LA;-;-;-;-;1;1;1;3;-;-;-;6
500020 AGUA CLARA;82;-;1;1;9;3;4;5;2;1;9;117
500025 ALCINOPOLIS;2;-;1;-;-;1;-;2;-;-;-;6
500060 AMAMBAI;285;15;50;34;110;32;116;165;41;67;49;964
500070 ANASTACIO;4;1;2;1;6;4;2;2;1;-;1;24
500080 ANAURILANDIA;34;-;-;-;1;-;1;-;1;-;-;37
500085 ANGELICA;55;3;21;11;36;19;33;86;6;11;15;296
500090 ANTONIO JOAO;85;2;12;5;12;6;21;33;3;6;25;210
500100 APARECIDA DO TABOADO;273;9;38;9;53;17;50;75;9;10;87;630
500110 AQUIDAUANA;315;-;1;1;2;2;3;3;-;2;30;359
500124 ARAL MOREIRA;3;-;1;-;1;-;-;-;-;2;1;8
500150 BANDEIRANTES;62;-;1;2;1;-;-;1;-;1;14;82
500190 BATAGUASSU;240;-;-;-;-;-;-;-;-;-;19;259
500200 BATAYPORA;34;-;3;3;5;4;2;8;-;3;1;63
500210 BELA VISTA;8;-;-;2;2;-;-;4;3;1;1;21
500215 BODOQUENA;17;1;8;3;12;4;13;29;6;11;9;113
500220 BONITO;238;-;5;1;8;2;4;18;1;6;36;319
500230 BRASILANDIA;121;-;-;-;1;1;2;1;-;2;7;135
500240 CAARAPO;5;-;3;2;3;2;3;13;-;2;4;37
500260 CAMAPUA;46;1;10;-;7;4;8;13;1;4;11;105
500270 CAMPO GRANDE;6448;-;146;62;174;85;115;303;78;320;766;8497
500280 CARACOL;-;1;12;3;19;8;9;21;1;16;7;97
500290 CASSILANDIA;27;-;1;3;12;3;4;16;2;5;6;79
500295 CHAPADAO DO SUL;605;3;13;5;87;19;63;94;14;40;84;1027
500310 CORGUINHO;3;-;-;2;1;4;8;18;1;3;2;42
500315 CORONEL SAPUCAIA;215;3;9;7;16;8;22;40;4;10;42;376
500320 CORUMBA;229;-;5;27;26;29;37;44;9;13;52;471
500325 COSTA RICA;3;-;11;3;14;8;8;38;4;12;10;111
500330 COXIM;18;1;5;2;7;1;8;21;3;6;1;73
500345 DEODAPOLIS;19;-;2;3;3;3;1;2;-;3;1;37
500348 DOIS IRMAOS DO BURITI;35;1;12;1;15;4;9;8;2;5;20;112
500350 DOURADINA;72;1;2;2;3;-;2;5;-;-;3;90
500370 DOURADOS;559;-;23;14;61;36;33;102;39;93;67;1027
500375 ELDORADO;11;-;4;2;6;5;3;9;1;3;1;45
500380 FATIMA DO SUL;77;-;-;-;-;1;2;-;-;5;11;96
500390 FIGUEIRAO;10;-;1;1;-;-;1;1;-;1;2;17
500400 GLORIA DE DOURADOS;12;-;1;-;1;1;-;2;-;-;2;19
500410 GUIA LOPES DA LAGUNA;20;1;15;12;12;14;21;29;2;5;20;151
500430 IGUATEMI;21;-;-;-;-;-;-;-;-;1;-;22
500440 INOCENCIA;133;-;1;1;5;4;2;5;-;-;10;161
500450 ITAPORA;187;-;8;4;13;6;6;21;5;4;13;267
500460 ITAQUIRAI;15;1;1;1;-;5;2;5;-;2;4;36
500470 IVINHEMA;53;16;59;22;82;32;45;108;10;43;13;483
500480 JAPORA;29;1;3;-;2;2;2;7;1;4;1;52
500490 JARAGUARI;43;-;2;1;2;-;4;4;2;3;4;65
500500 JARDIM;177;5;25;14;75;19;44;88;9;19;29;504
500510 JATEI;23;1;-;2;3;1;7;4;-;-;1;42
500515 JUTI;17;-;6;6;8;4;5;9;4;2;5;66
500520 LADARIO;38;-;-;2;6;4;2;8;2;-;4;66
500525 LAGUNA CARAPA;85;1;3;1;2;3;4;8;-;6;3;116
500540 MARACAJU;31;-;2;-;13;6;9;30;5;13;9;118
500560 MIRANDA;1165;1;41;25;97;26;53;107;11;28;213;1767
500568 MUNDO NOVO;43;1;2;1;11;4;2;18;5;4;1;92
500570 NAVIRAI;46;-;2;5;5;6;3;16;1;5;5;94
500580 NIOAQUE;152;7;58;9;68;11;42;72;3;28;47;497
500600 NOVA ALVORADA DO SUL;25;1;-;1;-;-;1;3;-;-;3;34
500620 NOVA ANDRADINA;40;3;2;2;5;4;1;12;1;3;10;83
500625 NOVO HORIZONTE DO SUL;2;-;4;-;2;1;-;1;-;-;1;11
500627 PARAISO DAS AGUAS;25;-;-;-;-;3;3;4;1;5;3;44
500630 PARANAIBA;189;4;32;12;61;25;47;93;19;31;70;583
500635 PARANHOS;66;-;3;3;14;8;6;4;2;10;10;126
500640 PEDRO GOMES;45;-;2;-;4;-;-;3;-;2;5;61
500660 PONTA PORA;122;-;3;1;5;4;3;16;2;9;17;182
500690 PORTO MURTINHO;116;-;1;1;8;3;7;5;1;10;12;164
500710 RIBAS DO RIO PARDO;180;1;27;7;54;17;33;63;6;12;40;440
500720 RIO BRILHANTE;30;-;-;-;-;-;-;-;-;-;5;35
500730 RIO NEGRO;158;-;-;-;2;1;2;1;-;19;15;198
500740 RIO VERDE DE MATO GROSSO;4;2;10;4;18;7;7;11;3;3;5;74
500750 ROCHEDO;18;-;13;1;28;9;19;14;9;5;8;124
500755 SANTA RITA DO PARDO;22;1;3;1;3;-;3;-;-;1;4;38
500769 SAO GABRIEL DO OESTE;1579;1;18;4;16;9;14;43;4;28;123;1839
500770 SETE QUEDAS;10;-;1;-;-;-;1;2;-;1;1;16
500780 SELVIRIA;7;-;-;-;-;-;1;-;-;1;-;9
500790 SIDROLANDIA;300;-;3;-;-;-;-;3;-;2;22;330
500793 SONORA;-;2;9;4;40;8;12;27;9;16;9;136
500795 TACURU;25;6;24;20;33;18;14;22;1;14;9;186
500797 TAQUARUSSU;45;1;3;-;-;1;-;3;1;3;2;59
500800 TERENOS;70;1;5;3;15;2;2;10;1;3;9;121
500830 TRES LAGOAS;22;1;63;10;244;98;34;390;32;120;33;1047
500840 VICENTINA;3;-;1;1;2;-;1;6;-;3;-;17
510010 ACORIZAL;4;-;2;2;4;1;5;17;2;9;7;53
510020 AGUA BOA;45;1;38;23;81;33;55;129;16;38;75;534
510025 ALTA FLORESTA;429;-;17;15;42;23;53;92;5;18;103;797
510030 ALTO ARAGUAIA;100;-;1;-;10;1;4;9;4;16;11;156
510035 ALTO BOA VISTA;5;-;1;-;2;1;-;4;1;-;-;14
510040 ALTO GARCAS;163;-;9;10;16;9;9;24;1;11;29;281
510050 ALTO PARAGUAI;2;-;-;-;-;-;-;-;-;-;1;3
510060 ALTO TAQUARI;58;-;4;4;15;5;6;20;3;14;14;143
510080 APIACAS;18;-;3;1;1;-;1;4;1;4;1;34
510100 ARAGUAIANA;5;-;8;6;17;2;12;17;2;7;3;79
510120 ARAGUAINHA;14;-;1;1;4;2;4;9;-;3;4;42
510125 ARAPUTANGA;43;-;4;-;5;3;2;8;1;3;7;76
510130 ARENAPOLIS;2;-;6;4;5;4;4;4;6;3;15;53
510140 ARIPUANA;16;-;3;6;21;15;9;12;1;2;11;96
510160 BARAO DE MELGACO;1;-;-;-;-;-;-;3;-;-;1;5
510170 BARRA DO BUGRES;49;1;12;9;12;8;9;17;2;6;36;161
510180 BARRA DO GARCAS;280;1;42;23;70;30;80;116;32;51;123;848
510185 BOM JESUS DO ARAGUAIA;29;3;12;3;11;5;5;15;-;6;9;98
510190 BRASNORTE;30;1;15;12;24;10;7;18;-;7;36;160
510250 CACERES;28;2;6;1;9;1;10;18;5;10;11;101
510260 CAMPINAPOLIS;5;-;6;2;11;2;10;11;-;3;11;61
510263 CAMPO NOVO DO PARECIS;50;3;25;25;115;145;159;338;34;62;168;1124
510267 CAMPO VERDE;15;7;10;11;43;13;39;59;7;18;19;241
510268 CAMPOS DE JULIO;15;-;2;-;2;1;6;15;1;9;6;57
510269 CANABRAVA DO NORTE;20;3;7;2;15;5;7;14;1;6;12;92
510270 CANARANA;32;5;85;25;132;32;80;122;10;40;110;673
510279 CARLINDA;62;2;3;7;6;1;4;19;-;-;13;117
510285 CASTANHEIRA;1;-;1;-;-;1;1;-;-;-;-;4
510300 CHAPADA DOS GUIMARAES;30;2;1;8;15;7;16;38;20;6;38;181
510305 CLAUDIA;25;6;54;34;71;67;38;135;12;34;63;539
510310 COCALINHO;39;6;23;12;43;17;37;79;11;28;15;310
510320 COLIDER;27;3;8;7;27;8;20;79;7;14;37;237
510325 COLNIZA;1;2;9;9;8;12;5;23;-;4;31;104
510330 COMODORO;24;-;1;-;3;1;3;-;-;2;6;40
510335 CONFRESA;39;10;30;19;70;40;69;174;13;50;101;615
510336 CONQUISTA D'OESTE;15;-;2;1;3;3;1;4;1;7;5;42
510337 COTRIGUACU;14;1;14;1;18;8;15;24;-;9;15;119
510340 CUIABA;546;-;27;15;36;23;26;88;18;52;154;985
510343 CURVELANDIA;6;-;-;-;-;-;-;1;-;1;-;8
510350 DIAMANTINO;219;-;12;6;13;24;20;96;7;11;102;510
510360 DOM AQUINO;20;-;3;4;4;3;8;15;3;7;15;82
510370 FELIZ NATAL;39;4;41;23;58;22;68;54;10;24;31;374
510385 GAUCHA DO NORTE;55;-;4;5;19;23;40;40;6;11;22;225
510390 GENERAL CARNEIRO;3;-;3;-;3;1;2;2;1;1;6;22
510395 GLORIA D'OESTE;1;-;-;-;-;-;-;-;-;-;-;1
510410 GUARANTA DO NORTE;65;1;13;5;18;11;9;16;2;12;15;167
510420 GUIRATINGA;-;-;2;-;2;-;-;6;-;2;2;14
510450 INDIAVAI;-;-;-;1;2;-;1;-;-;1;-;5
510452 IPIRANGA DO NORTE;17;3;18;20;48;17;23;50;12;13;31;252
510454 ITANHANGA;114;1;1;2;8;3;3;11;-;5;38;186
510455 ITAUBA;74;1;3;3;8;2;7;16;1;-;15;130
510460 ITIQUIRA;35;1;12;4;15;3;14;28;4;15;17;148
510480 JACIARA;52;1;13;15;26;20;31;187;10;17;52;424
510490 JANGADA;6;-;1;-;-;-;1;2;-;-;3;13
510500 JAURU;-;-;-;-;-;1;1;-;-;-;2;4
510510 JUARA;130;3;17;20;30;19;23;41;5;21;41;350
510515 JUINA;3;3;24;22;28;6;22;47;4;10;25;194
510517 JURUENA;32;-;5;2;3;1;2;6;-;3;5;59
510520 JUSCIMEIRA;14;-;1;2;1;2;3;7;2;2;4;38
510523 LAMBARI D'OESTE;-;-;-;-;-;-;-;-;1;2;-;3
510525 LUCAS DO RIO VERDE;588;5;135;38;205;153;343;895;23;86;343;2814
510550 VILA BELA DA SANTISSIMA TRINDADE;7;-;6;1;9;1;5;1;1;1;-;32
510558 MARCELANDIA;45;4;20;15;96;78;106;118;8;12;40;542
510560 MATUPA;86;1;10;5;13;21;15;58;3;13;25;250
510562 MIRASSOL D'OESTE;33;-;3;-;6;2;14;26;3;4;6;97
510590 NOBRES;15;1;19;18;15;17;34;32;1;12;34;198
510600 NORTELANDIA;13;1;3;2;10;5;8;18;1;10;8;79
510610 NOSSA SENHORA DO LIVRAMENTO;16;-;-;-;-;-;-;-;-;-;2;18
510615 NOVA BANDEIRANTES;71;3;11;6;16;5;8;36;1;10;23;190
510617 NOVA NAZARE;2;2;5;-;14;5;3;16;-;4;2;53
510618 NOVA LACERDA;4;3;-;3;5;6;3;3;2;3;8;40
510619 NOVA SANTA HELENA;14;3;3;18;31;15;22;26;3;9;23;167
510620 NOVA BRASILANDIA;16;-;-;-;-;-;-;-;-;-;2;18
510621 NOVA CANAA DO NORTE;25;-;-;5;7;-;3;3;1;4;1;49
510622 NOVA MUTUM;592;4;87;49;172;91;173;443;32;103;250;1996
510623 NOVA OLIMPIA;6;1;2;7;3;3;8;10;2;1;8;51
510624 NOVA UBIRATA;2;1;17;13;55;30;36;172;2;15;72;415
510625 NOVA XAVANTINA;117;2;17;22;24;16;19;51;9;15;73;365
510626 NOVO MUNDO;5;2;16;39;66;24;10;28;4;15;25;234
510627 NOVO HORIZONTE DO NORTE;107;5;57;33;32;35;20;80;7;37;41;454
510628 NOVO SAO JOAQUIM;-;1;10;4;9;4;9;6;2;5;14;64
510629 PARANAITA;57;-;33;3;17;18;2;25;2;4;31;192
510630 PARANATINGA;12;3;9;13;20;2;10;9;3;7;19;107
510637 PEDRA PRETA;23;-;3;-;1;-;1;2;-;1;4;35
510642 PEIXOTO DE AZEVEDO;160;3;21;7;17;14;24;45;8;8;56;363
510645 PLANALTO DA SERRA;46;1;14;10;20;10;19;39;1;13;12;185
510650 POCONE;40;1;7;7;31;11;10;46;2;4;46;205
510665 PONTAL DO ARAGUAIA;33;-;5;8;22;14;27;26;6;8;20;169
510670 PONTE BRANCA;13;-;-;-;-;-;1;-;2;1;-;17
510675 PONTES E LACERDA;193;-;14;12;20;20;18;28;12;6;68;391
510677 PORTO ALEGRE DO NORTE;5;-;1;-;2;2;1;6;-;3;2;22
510680 PORTO DOS GAUCHOS;13;4;27;9;30;16;15;55;5;26;39;239
510682 PORTO ESPERIDIAO;-;1;-;-;1;-;2;2;-;-;-;6
510685 PORTO ESTRELA;7;-;9;2;9;5;12;20;1;8;3;76
510700 POXOREO;6;1;3;4;4;1;1;5;1;2;5;33
